Historical homogenized temperature stations for Canada - Updated to December 2011,,,,,,,,,,
Stations historiques de temperatures homogénéisées pour le Canada - Mise à jour jusqu'à décembre 2011,,,,,,,,,,
Prov,station's name,stnid,beg yr,beg mon ,end yr,end mon,lat (deg),long (deg),elev (m),stns joined
Prov,nom de la station,stnid,année déb.,mois déb.,année fin.,année fin.,lat (deg),long (deg),élév (m),stns jointes
NU,LUPIN,230N002,1959,1,2011,12,65.77,-111.23,490,Y
NU,PELLY BAY,2303092,1957,8,2011,12,68.53,-89.80,16,Y
NU,POND INLET,2403202,1922,10,2011,12,72.70,-77.97,55,Y
NU,RESOLUTE,2403500,1947,10,2011,12,74.72,-94.98,67,N
NU,SHEPHERD BAY,2303685,1957,4,2011,12,68.82,-93.43,43,N
AB,ATHABASCA,3060L20,1918,6,2011,12,54.82,-113.53,626,Y
AB,BANFF,3050519,1887,11,2011,12,51.20,-115.55,1397,Y
AB,BEAVERLODGE,3070600,1913,4,2011,12,55.20,-119.40,745,Y
AB,CALGARY,3031093,1885,1,2011,12,51.12,-114.02,1084,N
AB,CALMAR,3011120,1915,11,2011,8,53.28,-113.85,720,N
AB,CAMPSIE,3061200,1912,9,2011,12,54.13,-114.68,671,N
AB,CAMROSE,3011240,1946,3,2011,12,53.03,-112.82,739,N
AB,CARWAY,3031400,1914,8,2009,9,49.00,-113.37,1354,N
AB,COLD LAKE,3081680,1925,7,2011,12,54.42,-110.28,541,Y
AB,CORONATION,3011887,1924,4,2011,12,52.08,-111.45,791,Y
AB,EDMONTON,3012205,1880,7,2011,12,53.57,-113.52,723,Y
AB,EDSON,3062246,1914,2,2011,12,53.58,-116.47,927,Y
AB,ENTRANCE,306A009,1917,6,2011,12,53.37,-117.70,991,Y
AB,FAIRVIEW,3072525,1931,10,2011,12,56.07,-118.38,655,Y
AB,FORT CHIPEWYAN,3072662,1883,10,2011,6,58.77,-111.12,238,Y
AB,FORT MCMURRAY,3062696,1916,1,2011,12,56.65,-111.22,369,Y
AB,FORT VERMILION,3072723,1908,7,2011,12,58.38,-116.03,289,Y
AB,GLEICHEN,3032801,1903,7,2011,12,50.88,-113.05,905,Y
AB,GRANDE PRAIRIE,3072920,1922,8,2011,12,55.18,-118.88,669,Y
AB,HIGH PRAIRIE,3063165,1926,9,2011,12,55.40,-116.48,602,Y
AB,HIGH RIVER,3033250,1902,8,2011,9,50.48,-114.17,1580,Y
AB,JASPER,3053536,1926,9,2011,12,52.93,-118.03,1020,Y
AB,JENNER,3023560,1915,8,2007,11,50.72,-111.20,755,N
AB,KEG RIVER,3073641,1935,7,2007,11,57.75,-117.62,405,Y
AB,LACOMBE,3023722,1907,12,2011,12,52.45,-113.75,860,Y
AB,LETHBRIDGE,3033890,1902,1,2011,12,49.63,-112.80,929,Y
AB,MANYBERRIES,3044923,1928,5,2011,12,49.12,-110.47,935,Y
AB,MEDICINE HAT,3034485,1883,8,2011,12,50.02,-110.72,717,Y
AB,OLDS,3024925,1914,4,2011,12,51.78,-114.10,1046,Y
AB,PEACE RIVER,3075040,1907,8,2011,12,56.23,-117.43,571,Y
AB,PINCHER CREEK,3035206,1893,8,2011,6,49.52,-113.98,1190,Y
AB,RANFURLY,3015405,1905,1,2011,12,53.42,-111.73,673,Y
AB,ROCKY MTN HOUSE,3015523,1915,8,2011,12,52.43,-114.92,988,Y
AB,SION,3015960,1908,1,2004,12,53.88,-114.12,701,N
AB,SLAVE LAKE,3065999,1922,8,2007,8,55.28,-114.78,583,Y
